rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
1,Michigan,B10,20-1,127.50542323848393,5,90.33068712047233,1,0.9813638327414913,1,27.759656994265654,3.2403430057343483,17.12091805545781,2.879081944542191,10-1,0.7562509846143994,0.7188269434289275,0.7902728402375557,0.7911000226989536,0.7414349247157586,0.8184158265897107,0.6017122817378558,0.6566797642200495,116.02939274338048,102.96908083013709,117.9590656870385,102.02647795677049,126.0148935853456,94.83949885345768,128.79403204988446,87.19569030251824,0.9888564141591945,11.0,0.05185274974913745,941.0,792.0,787.5125,1.1949016682274884,1.0056983222488531,0.8528128099090118,0.9090909090909091,7.8261945842775615,4,66,72.7515327333639
2,Arizona,B12,22-0,126.20249617298707,8,91.86227759412755,4,0.9747257104054654,2,28.743854111233517,2.2561458887664805,15.743854111233519,2.2561458887664805,9-0,0.6543135120529033,0.5646267854331296,0.7838610060592429,0.721623172898734,0.5646267854331298,0.8350094527350032,0.6307143580718165,0.7158200267932655,114.25671360149977,105.47604440876347,116.62553187019589,103.82157411939637,127.00377178695823,92.38634993870578,125.71377357353776,88.63251116408553,0.982352445610658,9.0,0.13026046270705693,795.0,647.0,659.75,1.205001894657067,0.9806744979158772,0.8861578994107637,1.0,8.241712148148656,1,8,71.11389955023623
3,Houston,B12,19-2,127.68518780130749,4,93.8043156752114,8,0.9719714922381414,3,26.67306533904398,4.326934660956017,14.673065339043982,3.3269346609560175,7-1,0.651109840211706,0.5408871773884464,0.8302216672995029,0.7065704522907592,0.5408871773884465,0.8262305952757628,0.6680112292082264,0.7958752632716755,112.86942796441738,105.25834884308972,115.41145036996075,104.31081088654015,132.2141253490338,94.2792808419652,128.06424190143818,97.76778738655545,0.9570687032104247,8.0,0.0188011034810871,634.0,515.0,518.75,1.2221686746987952,0.9927710843373494,0.8230377376567706,0.875,5.3578249215659515,9,122,63.541139706341184
4,Iowa St.,B12,20-2,126.66447668130876,7,94.26996793151014,13,0.9676062146456671,4,26.59048447024395,4.4095155297560495,13.59048447024395,4.4095155297560495,7-2,0.6076231813188389,0.4780697534321492,0.7947559104885014,0.6815357593999353,0.4780697534321492,0.8284834303766693,0.6654663242492279,0.7852056359851425,111.77134575166521,105.9335665679594,114.55654480435334,104.3611260777848,126.42554953577388,94.87433201076574,122.52189570795794,97.04530998777534,0.9358832667898488,7.0,0.043499691853659095,729.0,609.0,608.7499999999999,1.1975359342915812,1.00041067761807,0.8622109502648372,0.7777777777777778,5.43441658421836,8,78,67.87028624576368
5,Duke,ACC,21-1,125.28456830168376,10,93.26660564999963,5,0.967514737584761,5,27.70998373179273,3.2900162682072707,16.348722670600573,1.6512773293994274,10-0,0.6706499897073346,0.5908548619735606,0.7664041429878633,0.7270335791556494,0.6208940135711012,0.803689932077823,0.623778205171891,0.6349600403262248,114.55501525086164,104.49582611213172,116.17240524013084,103.14993095541998,126.9439271190266,94.5852975136585,123.60555339944061,89.00008339527488,0.9776269036787505,11.0,0.123962416569948,805.0,648.0,661.9124999999999,1.2161728325118504,0.9789813608294149,0.850297168440273,1.0,7.915624317312248,2,9,66.48903811031688
6,Connecticut,BE,22-1,122.69177402511079,26,91.62674385820557,3,0.9663479284711715,6,28.52580450050439,2.474195499495611,18.52580450050439,1.474195499495611,12-0,0.669602776573769,0.5914629927344554,0.7412309117598062,0.7049028103209107,0.5914629927344554,0.7672947099934608,0.6709220250774053,0.6412492795840086,114.32147749505175,105.02616256457986,114.98703713975667,104.17171873531048,122.1312808266229,92.08467883201394,122.29325490839078,90.2775900923833,0.9704198492803775,8.0,0.11745757122559575,961.0,788.0,814.5625,1.179774418783089,0.9673904703445101,0.8063904073439425,1.0,7.844518063574349,3,13,64.84274790891432
7,Florida,SEC,16-6,124.9770848520537,13,93.54881425540644,7,0.9654751413358802,7,23.15978222564634,7.840217774353665,14.159782225646333,3.8402177743536656,7-2,0.7089307454153614,0.610391860888291,0.8512646897322408,0.7429473173308518,0.6103918608882908,0.8386818136504794,0.6333708269892707,0.699424195181587,117.04692854559698,105.22445127323358,117.63405371889768,104.44510065179259,128.99062690936023,93.12082373136182,125.10015477174379,95.33813799983706,0.9578870451475124,10.0,-0.08049897669518746,792.0,655.0,643.1875,1.2313672140705472,1.0183655621416772,0.8260989375687181,0.7777777777777778,3.315201261288581,19,334,69.67945084226126
8,Illinois,B10,19-3,131.7355206719077,1,99.00061200160076,32,0.9639178527226914,8,25.767602638786308,5.2323973612136925,16.767602638786304,3.2323973612136925,10-1,0.6833950225946815,0.5730741951453997,0.7937158500439636,0.7269967407480717,0.5730741951453996,0.8116541408295417,0.6220863522073772,0.7268007821329606,115.79471060511983,104.46154965384659,116.66920098060118,103.33406105890151,133.29960594494054,101.27997369989481,132.48611997768901,100.79576122561153,0.9586672228203375,10.0,0.06882887736374166,883.0,774.0,707.65,1.247791987564474,1.0937610400621776,0.8335787184563594,0.9090909090909091,6.234975115846809,6,42,65.79867978415733
9,Purdue,B10,18-4,130.27264105246667,2,98.5483311051353,26,0.9611882608179094,9,24.09516328165534,6.9048367183446535,14.095163281655344,5.9048367183446535,8-3,0.7222717201648978,0.6422124526681702,0.8023309876616256,0.7691181346071567,0.6422124526681703,0.838916259673599,0.6007474742165074,0.7090683322203098,116.26859057521315,103.87457159874971,117.69258124734725,102.48687738052823,130.5218181551181,100.24036748787829,128.4876419092995,96.68583181680494,0.9633924836812588,10.0,0.013404533120147222,886.0,781.0,720.0500000000001,1.230470106242622,1.0846468995208665,0.8836315921326778,0.7272727272727273,5.350106844029996,10,145,65.00957588590471
10,Vanderbilt,SEC,19-3,125.10231351801426,12,95.37919093536887,15,0.957694916976312,10,25.575354004697783,5.424645995302218,12.575354004697784,5.424645995302218,6-3,0.6520743617887859,0.5266793489257756,0.8332004914798007,0.7126580621207522,0.5266793489257757,0.8469760216504574,0.6689122678003013,0.8069628999993742,114.37444918300339,106.4255176418218,116.03707920452175,104.9385768103863,123.4250953576446,96.44068275809192,128.9962640222533,99.18636519702525,0.9535583168759799,8.0,0.01719395427947601,728.0,684.0,633.9000000000001,1.1484461271493924,1.0790345480359678,0.8607515518211141,0.6666666666666666,4.823551577745654,13,128,70.03676163224034
11,Kansas,B12,17-5,122.12069150642282,31,93.92183010328677,9,0.9534380323476871,11,22.841155610058347,8.158844389941654,12.841155610058346,5.158844389941653,7-2,0.7512379610351911,0.6911693374370043,0.8380037506770165,0.7759786598132216,0.6911693374370043,0.8372298370849338,0.5944824341536752,0.662172473564029,116.62170770957346,102.65198398715467,117.55245846264147,101.70900809555336,125.7337229186671,97.61589691760625,122.98585740933558,96.31707969726722,0.9432605399143893,10.0,0.013152890967616626,733.0,666.0,624.4625,1.1738094761494886,1.0665172047961247,0.836455923492851,0.7777777777777778,4.9536182292513535,12,147,67.0527095762267
12,Nebraska,B10,20-2,122.14915235769668,29,94.04762080473958,10,0.9528704337381854,12,26.765079794724357,4.234920205275645,15.765079794724356,4.234920205275645,9-2,0.6532044010703996,0.4272563789586469,0.8791524231821523,0.6879899089535002,0.4272563789586467,0.8313933504506696,0.6614980504300599,0.8865406456809455,114.70705675575728,105.28267194121086,115.67560019475707,104.64927694673266,126.77816708177153,91.74425787387624,124.82938980416853,90.41181208904761,0.9760977350731115,10.0,0.12374631383462298,846.0,731.0,721.0375,1.1733092938994156,1.013816895792521,0.773021150445524,0.8181818181818182,6.481234217612537,5,10,66.74753139227363
13,Michigan St.,B10,19-3,118.97255329829102,51,91.6165494583669,2,0.9527873690672777,13,24.536671561493364,6.4633284385066325,14.53667156149337,5.4633284385066325,9-2,0.6767966293040051,0.5628721585135479,0.7907211000944621,0.7295963194059412,0.5628721585135481,0.8212946078967572,0.633600650905921,0.7865847384371769,116.17040694150931,105.99639582827386,118.07053322044538,104.4184216348881,119.90900796560548,89.42216393540737,119.52879280912796,86.99817499371883,0.9747463520680701,9.0,0.05228381397478121,838.0,684.0,728.6875000000001,1.1500128655973925,0.9386739857620721,0.858662228544007,0.8181818181818182,5.1700061116815,11,63,65.53883201884602
14,Gonzaga,WCC,22-1,121.63401602569363,36,94.12990648474772,11,0.950165081990422,14,28.72645795567487,2.273542044325131,16.72645795567487,1.2735420443251309,10-0,0.5995907610861818,0.6131951714895709,0.5819050275617761,0.6086230767842803,0.6131951714895709,0.6053210083860149,0.7674059735482026,0.7313866895606671,112.2425709196449,106.84728045065873,112.48463729446432,106.68762165392698,118.55815887432131,94.01765354008285,123.08078602410643,94.78857425070021,0.9527413918524625,6.0,0.09731708491527946,828.0,651.0,710.7875,1.1649051228391045,0.9158855494785713,0.6345909844163132,1.0,5.668762533006678,7,24,69.94595098985089
15,Virginia,ACC,19-3,124.17617241098844,19,97.56614844840578,22,0.9412248633120095,15,25.81142667201955,5.188573327980452,14.107738253457768,3.892261746542233,8-2,0.5975623173256684,0.431980183318974,0.7962608781337019,0.6542959014992012,0.46573977888562373,0.7904753233867848,0.7252156646473742,0.8435643914145972,112.1276072846595,107.14205605645746,113.58197073939712,105.76717014123463,121.83256457925208,94.66789792291638,126.28552768004734,92.54768875709583,0.9727333527844636,6.0,0.04198421713446476,786.0,704.0,692.7,1.1346903421394543,1.0163129782012414,0.7832433799531385,0.8,3.900321871102988,15,82,65.31237384771356
16,Tennessee,SEC,16-6,122.14187689432981,30,96.21689697481061,18,0.9395537530256296,16,22.065788800925695,8.934211199074305,12.065788800925693,5.934211199074306,6-3,0.6629168356499026,0.5180546099790285,0.8721622727300539,0.714368487301909,0.5180546099790285,0.8561507320351006,0.6232246913405717,0.7343047951726417,116.675851618048,106.85930831503698,117.64067642933244,105.44956980969143,122.74186777867365,98.77524851997376,121.90906077846005,96.6124204001287,0.935507041792845,13.0,0.00420410338038979,718.0,703.0,632.2125,1.1356940901991024,1.1119678905431323,0.8401391913401474,0.6666666666666666,3.196349004438452,20,173,65.74524906434797
17,Louisville,ACC,15-6,124.889167432108,15,98.48954961755965,25,0.9388299523224272,17,21.979079804940344,9.020920195059656,11.17975644372689,6.820243556273112,5-4,0.6589522556663452,0.5439460233804733,0.8122938987141745,0.7061823403735824,0.5631771534415396,0.8094638642689466,0.6575797843691356,0.7534431327894529,112.65523941304566,103.80208712929445,114.42060967639479,103.3614024663788,123.77297731082383,99.44068062179606,119.27144147960311,98.72371727581803,0.8979253085516091,10.0,-0.04615091371487845,709.0,662.0,621.3,1.1411556413970707,1.0655078062127796,0.8066338298237187,0.5555555555555556,2.0435843634981286,35,280,70.02780542801113
18,Texas Tech,B12,16-6,124.9630872795781,14,98.74863806655904,29,0.937471796910083,18,21.78732317406305,9.21267682593695,11.787323174063049,6.212676825936947,6-3,0.7226524675283044,0.6391060116318582,0.8433306816009488,0.7502985272285626,0.6391060116318581,0.8306042329372935,0.615542486637854,0.7016136008734986,118.53038323841297,104.94950715817369,118.30859174958898,103.49319524427341,126.04978406513666,96.90594417520387,125.42043179696955,100.34102716514457,0.9286155166035958,10.0,0.014903831706195803,735.0,676.0,623.6125000000001,1.1786165286936998,1.0840064944176069,0.8178777842736382,0.6666666666666666,3.5340356016024863,16,137,67.5548986365181
19,Alabama,SEC,14-7,129.25404509570149,3,102.19413707375898,61,0.9371099855371471,19,20.81297825042684,10.187021749573159,10.812978250426843,7.187021749573159,4-4,0.7588874949211892,0.6983778973792742,0.8572155909268013,0.7837891423461109,0.6983778973792742,0.8454750414888265,0.5947257716868949,0.637810711533334,118.07351649665746,103.00296077496866,118.71033385814536,102.86905257885286,124.21917558928561,101.74306872174708,129.10281558462182,103.83950035153366,0.9244406670431097,11.0,-0.014556374299786845,687.0,668.0,596.3125,1.1520804947070538,1.1202180064982705,0.8360826019384462,0.5,2.9667287180582598,23,219,73.11260062970798
20,Iowa,B10,16-5,121.9253133770749,34,96.58896611570708,19,0.9357675059953185,20,22.160299014865217,8.83970098513478,12.16029901486522,7.839700985134779,6-4,0.5905132573909508,0.39712039527489723,0.8032454057186097,0.6744481666399809,0.39712039527489734,0.8269784408907764,0.6477506972485955,0.8451733619264958,112.3201000346149,106.4544871825951,115.04853781196944,104.62623987053671,120.24577864304078,98.01762382141557,118.69718394706487,93.72572844037067,0.9379835470843128,8.0,-0.0019968896188062857,716.0,677.0,638.4749999999999,1.121422138689847,1.0603390892360705,0.850711476062943,0.6,2.3024249105535204,30,187,63.52086579710432
21,Saint Louis,A10,22-1,124.69809615795009,16,99.57598254577198,36,0.9300337420653414,21,29.10362330988252,1.8963766901174832,17.10362330988252,0.8963766901174828,10-0,0.4866499481297251,0.3998080291009763,0.5995444428670984,0.49780682043386204,0.3998080291009763,0.5685837252853906,0.8590004867572413,0.8916836274478773,108.20847282020945,107.93719231595809,108.47353139867829,107.9837963516915,126.5768732765476,99.18662790996433,100.78674707012175,80.98612236186527,0.9252132949905372,2.0,0.05790648708756707,873.0,700.0,705.4375000000001,1.2375299016567731,0.9922920173651102,0.5298828283082557,1.0,3.346035592458178,18,58,71.20725548976792
22,St. John's,BE,17-5,121.91866902425691,35,97.77784078446362,23,0.9267323964534578,22,23.13349116953481,7.866508830465189,16.13349116953481,3.8665088304651887,10-1,0.6838704178951374,0.6177561687848403,0.749984667005434,0.7168679760194065,0.6177561687848403,0.7713794699984174,0.6965496194472895,0.7439515493374075,114.18702909400717,104.95639159962455,115.02341425888491,103.97901972257498,123.78197494432585,98.24886970665061,123.5079408435878,101.19413514567975,0.9081742476578228,6.0,-0.005229095637741765,910.0,785.0,767.225,1.1860927368112353,1.0231679103261755,0.7975286736565086,0.9090909090909091,2.6887407071385523,25,196,69.7720107041187
23,Clemson,ACC,18-4,116.53753914719843,70,94.14550866470763,12,0.9208372025403208,23,23.79920408039585,7.200795919604153,13.799204080395846,4.200795919604153,8-1,0.6135947110375508,0.5290627106553473,0.7356964893674006,0.6663145627512105,0.5290627106553472,0.765440900376001,0.708764593188358,0.7713776652981225,111.80026508541764,106.74260655628687,113.3748639966977,105.21752550599705,115.4887578980687,91.16907074054281,118.61360287529287,95.8555485465789,0.9205491225485628,7.0,0.028073056068087188,646.0,564.0,588.2249999999999,1.0982192188363298,0.9588167792936377,0.7951853113846012,0.8888888888888888,2.982564659946658,22,100,64.4048748718753
24,N.C. State,ACC,17-6,123.28919340553952,23,99.86465229068801,38,0.9185827741559183,24,21.85580633899671,9.144193661003287,12.855806338996715,5.144193661003286,8-2,0.6641805438480844,0.586465417943319,0.7652102075242796,0.710814173847889,0.586465417943319,0.800621608667856,0.6812270396781195,0.7729152492294737,113.5374283501599,105.49965700039708,115.11301788118222,104.29521837492477,125.2058193348626,100.91726253964733,120.98421007067333,104.03669143540964,0.8501195015459434,6.0,-0.01719169629437689,826.0,728.0,697.2749999999999,1.1846115234304975,1.044064393531964,0.8448858600973266,0.8,2.135975913949244,34,229,68.90793060034252
25,Texas A&M,SEC,17-4,122.11643558136996,32,98.99015939849632,31,0.9179246173794819,25,22.80697184865065,8.193028151349349,12.80697184865065,5.19302815134935,7-1,0.5618002333746747,0.4124266361545853,0.80453232885732,0.6558069056945849,0.4124266361545853,0.831581544806807,0.6915580094559106,0.8639635199185439,111.7856191637691,108.88096098563922,115.05337272398621,106.767765569709,123.56418715506737,95.78402405219609,115.67661394987176,97.11865788367692,0.8819416870578511,6.0,0.01860427227782735,676.0,607.0,577.4625,1.1706387860683594,1.0511505076087193,0.8532209175663963,0.875,2.207799690887226,33,123,71.72688396866408
26,Indiana,B10,15-8,124.07864372139488,21,100.58526853894705,48,0.9178858314212848,26,19.667848421839558,11.332151578160445,10.667848421839556,9.332151578160444,6-6,0.6429954941233773,0.43917764678936755,0.8298285208462194,0.6949178657913478,0.4391776467893674,0.835574986242437,0.646188907461536,0.84641517011946,113.54854752555718,104.72992838833,115.50007279042698,103.8260759602746,126.98044194277122,103.53032848985163,117.99189306643734,103.23947838729498,0.8228814503288439,10.0,-0.05876468094510423,944.0,919.0,812.9875000000001,1.1611494641676532,1.130398683866603,0.8441946843367633,0.5,0.835910315667989,46,303,66.8546166148558
27,BYU,B12,17-4,124.173829133071,20,100.99072247744446,53,0.9150191006133636,27,22.5252975796815,8.4747024203185,10.5252975796815,7.4747024203185015,5-3,0.6638387969800684,0.5771362542196673,0.80473042896572,0.7284954082142926,0.5771362542196673,0.8378103527659662,0.6304284264330265,0.7488386980250046,114.02677516689444,104.56650970505692,115.95909352159944,102.9919698628207,124.00435787771643,102.92630983315625,123.55165622884122,98.39623482493859,0.9320144528184111,8.0,0.09872487853098033,679.0,641.0,578.3875,1.1739534481640768,1.1082535497395776,0.8642742918061632,0.625,4.04356835879721,14,21,70.056406571828
28,Arkansas,SEC,16-6,126.69107723071095,6,103.7181278252315,76,0.9089482079595582,28,21.11280843791398,9.887191562086018,11.11280843791398,6.887191562086017,6-3,0.670014744531139,0.5572274661459633,0.8329297021986148,0.7247939232325625,0.5572274661459631,0.845814142239551,0.6289837201470674,0.7087625249654769,115.64975302166185,105.17533120759113,117.37771114398026,104.3323462498886,126.73439751360155,105.31053306355149,126.10261909544275,102.19270135629309,0.9181679355499677,10.0,0.04972621815610567,775.0,734.0,646.375,1.1989943918004256,1.1355637207503384,0.8586985822804872,0.6666666666666666,2.889875924766582,24,67,70.85440942079696
29,North Carolina,ACC,18-4,123.97083548240381,22,101.49622618794649,57,0.9089005829021375,29,22.81655745344644,8.183442546553566,10.816557453446434,7.183442546553566,6-3,0.6198888422129,0.5195282172351392,0.7648541894029985,0.6896597419535253,0.5195282172351389,0.8125325098056931,0.674250742215525,0.791690194710993,112.29117520506206,105.71437425819317,114.38982534190517,103.84575736447695,128.93932058907504,107.08989527971612,124.28095673575773,104.87604272340756,0.8756977903010326,7.0,0.0649189976807607,771.0,727.0,634.8750000000001,1.2144122858830477,1.145107304587517,0.8602108302083878,0.6666666666666666,3.147876947872586,21,50,68.1614915343538
30,Utah St.,MWC,18-3,122.23467507160674,27,100.99270625333887,54,0.899825423285535,30,24.9398264734672,6.060173526532798,15.055829854232652,4.944170145767345,9-2,0.5702021805210729,0.5119915963027749,0.6231208934467981,0.6287135443419541,0.521250256896423,0.6878183524369964,0.7766553216082004,0.8489179490494769,111.43883895642264,107.09997856700822,111.88401793778786,105.17063896690297,125.04674473491498,101.22350426592733,118.46063255939362,102.44799798218713,0.8415880350999982,4.0,0.04157340867460113,911.0,750.0,738.4375,1.2336859923825645,1.0156580617858655,0.7668930245361276,0.8181818181818182,2.235727781343652,32,84,67.92144765169898
31,Auburn,SEC,14-8,125.15974743033402,11,103.49025525737798,73,0.899012901433411,31,19.130541409437967,11.869458590562033,10.130541409437969,7.869458590562031,5-4,0.7164534687316203,0.6204371263874867,0.8551437410064798,0.7533871062745492,0.6204371263874867,0.8494065361929835,0.5904231436871157,0.6406557910079772,117.5926615305,103.66714923219648,118.6470025364274,103.41354563904034,126.10453157093204,101.8392854650084,125.83332774239996,104.60161573540238,0.8933276302519476,13.0,0.04018558648749648,739.0,710.0,629.1125,1.1746706670110674,1.1285739831906059,0.8436693313794869,0.5555555555555556,2.3339828971211483,28,85,67.55437784128111
32,Villanova,BE,16-5,121.07600206663389,38,100.20432787144163,42,0.8980626545774187,32,22.63406158400254,8.365938415997455,13.634061584002547,6.365938415997454,7-3,0.6632621824044187,0.5581426369119138,0.7788936824461741,0.6976071298478078,0.558142636911914,0.7743126009625493,0.7018492773827327,0.7738380293615044,114.76598583050104,105.59339667444135,114.84693679711414,104.43572214023375,120.52447529783015,98.84681875297989,115.1847840924422,94.56894381792108,0.9061832408742481,7.0,0.046615488447233844,755.0,705.0,663.2875000000001,1.1382696040555564,1.0628875110717446,0.7697315194789247,0.7,2.3258524656537043,29,74,63.071349547583225
33,Santa Clara,WCC,19-5,122.08580432325289,33,101.72470993103973,58,0.890730002812893,33,23.750281006596122,7.249718993403879,14.75028100659612,3.249718993403879,10-1,0.552272573178343,0.5490586147469336,0.5560708876881905,0.5871699194570171,0.5490586147469336,0.614694750636522,0.7820877175855917,0.7985966165027427,110.56502845967456,106.34523136376099,111.22302037461826,105.60947797434544,125.29549219245061,100.87730740956452,113.39519526360047,96.82988996083415,0.8600996503242372,4.0,-0.0037216435405093007,978.0,785.0,792.725,1.233719133369075,0.9902551326121921,0.7068179638410429,0.9090909090909091,1.0218122442595892,42,191,69.68584614411266
34,SMU,ACC,15-7,124.52378960001771,17,104.10502058205415,79,0.8869151225309124,34,20.932203687407306,10.067796312592696,9.932203687407304,8.067796312592694,4-5,0.6785836835503718,0.5518987570351657,0.8615730218501142,0.7022945943704011,0.5518987570351657,0.8109138102236267,0.6857738989499259,0.7984847640104499,115.05242704022997,104.52541361044169,114.91943783614042,103.96916134679876,125.93136505267086,104.47879459692473,125.41672674662397,102.23046902980006,0.9129930906475126,8.0,0.01615238859880086,718.0,718.0,624.1375,1.1503875347980212,1.1503875347980212,0.7602545985971395,0.4444444444444444,1.3906350371222995,39,134,68.68043045573378
35,Wisconsin,B10,16-6,122.16256335077568,28,102.27191059789078,62,0.8853147953419406,35,19.80634612979214,11.193653870207863,11.806346129792137,8.193653870207863,8-3,0.641754079263353,0.48367084943505656,0.7998373090916495,0.707072953100606,0.48367084943505656,0.8299441101166583,0.6432270736065793,0.8306447087139458,113.9213653004189,105.48131972298869,116.2392492230263,103.89156085476212,126.37092245808016,103.25258662605535,121.43060637489448,104.49509343297738,0.8490709218688948,8.0,0.027559521751387206,891.0,863.0,761.0625,1.170731707317073,1.1339410363800608,0.8667413113694465,0.7272727272727273,1.5855114572549596,38,101,69.47879705585197
36,UCLA,B10,16-7,120.48193735894972,43,100.98976453187578,52,0.8838626103854058,36,19.385267487338137,11.614732512661858,11.385267487338144,8.61473251266186,8-4,0.6206576745707802,0.45595350360690967,0.7716364979543281,0.6915645335319668,0.4559535036069101,0.8211505999907477,0.6460718623389915,0.8069087557211265,114.1164241876007,106.56183330016499,115.63023678510167,104.05485643458543,121.07068001056932,100.5505776595412,121.41669392963942,104.54593976921109,0.8481830040867019,8.0,0.0063177347411500495,909.0,850.0,782.9250000000001,1.1610307500718458,1.0856723185490307,0.895421753045377,0.6666666666666666,1.0660096707918296,41,165,65.03193811040495
37,San Diego St.,MWC,16-6,112.26009232153868,119,94.67711589328307,14,0.8764225505267229,37,21.436733538136824,8.56326646186318,15.436733538136822,4.5632664618631775,10-2,0.6081376711650756,0.554854133713785,0.652540619041151,0.6319246269175167,0.5548541337137848,0.670459873519383,0.7417566747973787,0.7497713658193005,113.37947770239127,105.72982130900456,113.43879690584782,105.34074179460843,112.00300835213477,91.67664812485951,105.42088941315093,93.06394660590836,0.8074850091034015,6.0,0.00956722307053226,935.0,814.0,856.8374999999999,1.0912220811997608,0.9500051059856742,0.6973387552367308,0.8333333333333334,0.8826775435698785,44,159,68.46335868505373
38,Saint Mary's,WCC,19-4,118.98114069321522,50,100.41106274982369,44,0.875606300244913,38,24.804581306067565,6.195418693932437,13.804581306067565,4.195418693932436,8-2,0.5632688007675596,0.545644172258135,0.5861808178298117,0.5848647849417312,0.545644172258135,0.6131907829909954,0.7879611251506278,0.8211078246659234,110.16055475079374,105.20606190390758,110.57276631970902,105.03880891193924,121.22100138118627,102.25296591589363,104.61124335929992,96.93321832601926,0.7061235519760944,3.0,0.05972320703410283,766.0,656.0,649.7625,1.1788922875666108,1.0095996614147476,0.6469532394424747,0.8,2.0052455741003774,36,53,65.21046468994406
39,Ohio St.,B10,14-7,122.97390538057653,24,104.16875897439971,81,0.8708549256877016,39,18.458167668544988,12.54183233145501,10.16185608710677,9.83814391289323,6-5,0.6479517491830413,0.46246986843112453,0.8165716407756929,0.7174392798952078,0.5059930497836788,0.8337347064565488,0.6401072798261805,0.8129623904062729,113.98127266403026,105.26998098289661,116.18827413886706,103.48917815843318,125.62356898574136,105.20888206016134,125.57989299932058,104.38160912562535,0.8934255773384706,8.0,0.004430659722130081,857.0,850.0,734.95,1.1660657187563779,1.1565412613102932,0.8547117867331505,0.5454545454545454,0.63905862254518,51,171,66.92360075112389
40,Texas,SEC,14-9,125.56052266833436,9,106.41298690962881,122,0.8702073206340755,40,18.028670616591942,12.971329383408058,9.028670616591942,8.971329383408058,5-5,0.6085288497214669,0.4219968849009448,0.8510204039881455,0.6671848931180694,0.4219968849009448,0.8442651212748812,0.6395610236445651,0.7676788754563406,114.17405521942746,105.5655025959577,115.84900348932206,104.75081488573099,127.73100967843257,106.83083862591873,127.8500869085119,106.25525413387582,0.8935628904712809,11.0,-0.018472449019886872,823.0,796.0,683.175,1.2046693746111905,1.1651480221026824,0.8358210178833008,0.5,0.07140761421779507,57,235,66.99711054287913
41,New Mexico,MWC,18-4,116.43938136262082,71,98.70630605494388,28,0.869897485551051,41,23.718410666239727,7.281589333760274,14.718410666239725,5.281589333760274,9-2,0.5380784168401315,0.4706219877121454,0.6055348459681175,0.5894524281693321,0.4706219877121454,0.6548091704207846,0.7706998788229055,0.8207347844139725,110.36239744949155,106.96217168296604,111.16798217548146,105.75361569184864,117.86950475996073,95.94691390519965,112.1394342290358,94.35204363196019,0.8793369607254595,5.0,0.05212521618140342,898.0,739.0,772.8,1.1620082815734991,0.9562629399585922,0.7150333447518223,0.8181818181818182,1.6272724453252625,37,65,69.90623388806253
42,Georgia,SEC,16-6,120.66456596324662,41,102.40537651540345,64,0.8683977718734771,42,20.301175241330924,10.698824758669073,8.301175241330924,9.698824758669076,4-5,0.5803120795993153,0.3890862604279587,0.8565271517357195,0.658479804198417,0.3890862604279588,0.8530418080326369,0.6869544014429607,0.873068640950327,112.10872039110133,107.59139949871222,114.67701053677702,105.98060774108487,120.2813650876576,103.83187555852622,121.35933728284206,101.49061245675898,0.8865605321925895,9.0,0.025069619795056952,744.0,772.0,667.625,1.1143980527991013,1.1563377644635835,0.8495564643295539,0.4444444444444444,1.015977092038123,43,105,73.65071861310578
