Rk,Player,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Cameron Boozer,Duke,F,22,22,32.5,8.3,14.3,.583,1.5,4.0,.375,6.8,10.3,.664,.635,5.1,6.8,.758,3.2,6.7,9.9,4.0,1.9,0.5,2.2,1.7,23.3,,cameron-boozer-3
2,Ebuka Okorie,Stanford,G,20,20,33.5,6.7,16.0,.420,1.8,6.1,.298,4.9,9.9,.495,.476,6.6,8.0,.819,0.8,2.7,3.5,3.3,1.5,0.3,1.7,1.6,21.8,,ebuka-okorie-1
3,Juke Harris,Wake Forest,F,22,22,32.9,6.4,13.8,.462,2.6,7.2,.365,3.7,6.5,.569,.558,5.5,7.2,.767,1.4,4.8,6.2,1.5,1.6,0.3,2.0,2.4,20.9,,juke-harris-1
4,Caleb Wilson,North Carolina,F,22,22,31.2,7.2,12.4,.581,0.3,1.1,.250,6.9,11.3,.613,.592,5.4,7.7,.704,3.0,6.8,9.8,2.8,1.5,1.3,2.0,2.0,20.0,,caleb-wilson-1
5,Malik Reneau,Miami (FL),F,22,22,27.5,7.3,12.7,.573,0.8,2.2,.347,6.5,10.5,.622,.604,4.5,5.6,.806,2.3,4.1,6.4,2.2,0.8,0.9,2.6,2.5,19.9,,malik-reneau-1
6,Ryan Conwell,Louisville,G,20,20,30.0,5.9,14.7,.399,3.7,10.2,.358,2.2,4.5,.494,.524,3.7,4.5,.831,0.8,4.3,5.0,2.6,1.4,0.2,1.7,3.1,19.1,,ryan-conwell-1
7,Kevin Miller,SMU,G,21,21,34.8,5.7,12.4,.462,1.8,4.6,.381,4.0,7.8,.509,.533,6.0,6.9,.868,0.7,3.0,3.6,6.7,1.7,0.1,2.7,2.3,19.1,,kevin-miller-3
8,Donnie Freeman,Syracuse,F,14,12,30.4,6.1,12.1,.509,1.2,3.6,.340,4.9,8.5,.580,.559,5.1,6.4,.789,0.9,6.4,7.4,1.3,1.1,0.9,2.3,2.6,18.6,,donnie-freeman-1
9,Markus Burton,Notre Dame,G,10,10,30.1,6.5,13.3,.489,1.1,3.6,.306,5.4,9.7,.557,.530,4.4,4.8,.917,0.6,2.2,2.8,3.7,1.6,0.1,2.6,2.9,18.5,,markus-burton-1
10,Jaron Pierre Jr.,SMU,G,22,20,31.9,6.5,14.2,.457,2.0,5.7,.360,4.5,8.5,.521,.529,2.3,3.0,.758,0.7,4.1,4.8,1.5,0.8,0.3,1.4,2.0,17.3,,jaron-pierrejr-1
11,Henri Veesaar,North Carolina,F,22,22,30.8,6.4,10.3,.624,1.3,2.8,.459,5.1,7.5,.685,.686,2.7,4.3,.621,2.4,6.6,9.0,2.0,0.6,1.3,1.6,2.7,16.8,,henri-veesaar-1
12,Thijs De Ridder,Virginia,F,22,22,27.7,6.0,11.1,.539,1.0,2.9,.365,5.0,8.3,.599,.586,3.7,5.3,.698,2.6,4.0,6.6,1.6,0.7,0.4,2.0,2.8,16.7,,thijs-de-ridder-1
13,Dai Dai Ames,California,G,22,22,31.3,6.0,12.9,.470,1.7,4.3,.400,4.3,8.5,.505,.537,2.8,3.3,.849,0.3,1.6,1.9,2.4,0.8,0.1,1.5,2.6,16.6,,dai-dai-ames-1
14,Mikel Brown Jr.,Louisville,G,13,12,28.0,4.6,12.0,.385,2.0,7.1,.283,2.6,4.9,.531,.468,5.2,6.4,.807,0.1,2.8,2.9,5.0,0.8,0.1,2.8,1.2,16.4,,mikel-brown-jr-1
15,Tre Donaldson,Miami (FL),G,22,20,33.4,5.6,12.1,.466,1.5,4.4,.351,4.1,7.7,.533,.530,3.2,4.1,.778,0.6,2.7,3.4,6.1,1.3,0.2,2.1,1.6,16.0,,tre-donaldson-1
16,Kowacie Reeves Jr.,Georgia Tech,G,21,21,31.2,5.6,12.2,.457,2.1,5.4,.389,3.5,6.8,.510,.543,2.5,3.2,.779,0.9,3.1,4.0,1.4,1.1,0.5,1.4,2.5,15.8,,kowacie-reeves-1
17,Jalen Haralson,Notre Dame,G,21,19,26.8,5.7,11.3,.504,0.2,1.0,.227,5.5,10.3,.532,.515,3.9,6.1,.633,1.3,2.2,3.6,2.6,0.5,0.3,2.6,2.3,15.5,,jalen-haralson-1
18,Justin Pippen,California,G,20,20,31.0,4.3,11.2,.381,2.0,5.5,.364,2.3,5.7,.398,.471,4.7,5.7,.816,0.7,3.1,3.7,4.3,1.9,0.7,2.3,2.3,15.2,,justin-pippen-1
19,Fred Payne,Boston College,G,22,21,34.2,5.5,13.3,.418,2.2,6.4,.350,3.3,6.9,.480,.502,1.8,2.4,.769,0.7,3.1,3.8,3.0,0.8,0.2,1.3,1.5,15.1,,fred-payne-1
20,Darrion Williams,NC State,F,22,22,29.6,5.4,12.3,.435,2.5,5.7,.429,2.9,6.6,.441,.535,2.0,2.5,.796,1.1,4.1,5.3,3.1,1.0,0.2,1.7,2.6,15.1,,darrion-williams-1
21,Amani Hansberry,Virginia Tech,F,22,22,31.5,5.5,11.0,.500,1.1,3.1,.362,4.4,7.9,.555,.552,2.9,4.1,.711,3.2,5.0,8.3,2.6,1.5,0.8,2.1,3.1,15.0,,amani-hansberry-2
22,Robert McCray V,Florida State,G,22,22,28.2,5.4,11.7,.457,1.0,3.4,.284,4.4,8.4,.527,.498,2.7,4.0,.678,1.0,2.6,3.6,6.4,1.3,0.4,4.0,3.1,14.4,,robert-mccray-1
23,John Camden,California,F,22,22,30.5,4.6,10.0,.464,2.7,6.5,.417,1.9,3.5,.553,.600,2.3,2.8,.823,1.0,3.6,4.6,1.6,0.7,0.3,1.0,2.2,14.3,,john-camden-1
24,Shelton Henderson,Miami (FL),F,22,22,29.3,5.4,8.8,.608,0.5,1.6,.333,4.8,7.2,.671,.639,3.0,5.2,.583,2.0,2.6,4.6,2.1,1.1,0.2,1.8,2.3,14.3,,shelton-henderson-1
25,Isaiah Evans,Duke,G,22,22,27.5,4.4,10.6,.415,2.4,7.0,.335,2.0,3.6,.570,.526,3.0,3.4,.880,0.4,2.8,3.1,1.2,0.9,0.9,1.1,1.1,14.2,,isaiah-evans-1
26,Seth Trimble,North Carolina,G,13,13,31.3,4.8,10.2,.477,1.0,2.8,.351,3.8,7.3,.526,.527,3.4,4.8,.698,1.0,3.2,4.2,2.8,1.2,0.2,1.4,1.5,14.1,,seth-trimble-1
27,Donald Hand Jr.,Boston College,G,22,22,34.0,4.2,12.8,.326,1.2,5.8,.213,3.0,7.0,.419,.374,4.5,6.2,.721,0.6,4.4,5.0,1.4,0.5,0.1,1.9,1.3,14.0,,donald-hand-jr-1
28,B.J. Edwards,SMU,G,22,22,34.3,5.1,10.5,.485,1.5,4.2,.370,3.5,6.3,.561,.558,2.2,3.0,.754,1.4,4.7,6.1,5.0,2.5,0.2,2.1,1.9,14.0,,bj-edwards-2
29,Chisom Okpara,Stanford,F,17,17,28.5,4.0,10.2,.393,1.0,3.3,.304,3.0,6.9,.436,.442,4.9,6.8,.730,1.6,2.3,3.9,2.2,1.1,0.4,2.6,1.9,13.9,,chisom-okpara-1
30,Paul McNeil Jr.,NC State,G,23,22,27.7,4.1,9.5,.429,3.2,7.4,.429,0.9,2.1,.429,.596,2.5,3.1,.803,0.7,3.1,3.8,1.0,0.8,0.3,0.3,1.5,13.8,,paul-mcneil-jr-1
31,Quadir Copeland,NC State,G,23,23,28.0,4.4,8.5,.523,0.9,1.9,.477,3.5,6.6,.536,.577,4.0,5.1,.771,0.6,3.0,3.6,6.9,1.7,0.0,2.6,3.1,13.7,,quadir-copeland-1
32,Ven-Allen Lubin,NC State,F,23,23,27.4,5.3,7.8,.678,0.1,0.4,.300,5.2,7.4,.700,.686,2.7,3.8,.701,2.8,4.2,7.0,1.0,0.6,0.7,1.0,2.5,13.4,,ven-allen-lubin-1
33,Chris Bell,California,F,22,21,26.8,4.0,9.0,.437,1.7,5.0,.339,2.3,4.1,.556,.530,3.3,3.7,.890,0.4,2.3,2.6,0.7,0.5,0.7,1.3,1.3,12.9,,chris-bell-1
34,Malik Thomas,Virginia,G,22,22,23.8,4.3,10.4,.412,1.8,5.5,.333,2.5,4.9,.500,.500,2.5,3.5,.711,0.8,3.3,4.0,1.8,0.5,0.2,1.6,2.6,12.8,,malik-thomas-2
35,Ben Hammond,Virginia Tech,G,23,9,29.9,4.1,9.3,.439,1.2,2.9,.409,2.9,6.4,.453,.502,3.5,4.0,.860,0.4,1.8,2.2,3.3,1.9,0.1,1.4,2.0,12.8,,ben-hammond-1
